bodyId_pre,bodyId_post,weight
234292899,236331138,10
234292899,266536576,6
234292899,295490804,1
234292899,295490863,1
234292899,295820085,2
234292899,295827899,2
234292899,296155122,1
234292899,296838079,4
234292899,296851261,16
234292899,296855409,14
234292899,297178509,1
234292899,326525339,5
234292899,326884264,5
234292899,327203386,3
234292899,327565800,2
234292899,328213227,1
234292899,329638509,6
234292899,357223889,3
234292899,357569231,1
234292899,357573309,1
234292899,357919199,1
234292899,358259842,10
234292899,358424052,7
234292899,360466268,2
234292899,387913933,1
234292899,388012215,11
234292899,391155165,6
234292899,420842989,1
234292899,421357275,7
234292899,422881784,1
234292899,424236821,2
234292899,481199836,1
234292899,483193732,1
234292899,511806866,17
234292899,540112974,14
234292899,668716892,1
234292899,701366259,1
234292899,732741880,1
234292899,764800313,2
234292899,788461444,2
234292899,793128475,1
234292899,794622522,6
234292899,795291970,1
234292899,817678848,2
234292899,850760107,1
234292899,850764542,23
234292899,851200326,11
234292899,858047578,3
234292899,885253510,24
234292899,885257860,1
234292899,885257867,4
234292899,885262090,1
234292899,885262311,6
234292899,885598938,2
234292899,885599043,1
234292899,885599260,3
234292899,885603106,6
234292899,885603391,1
234292899,885607728,16
234292899,886276864,8
234292899,886280796,3
234292899,886281163,18
234292899,915605750,8
234292899,915605802,1
234292899,915610680,2
234292899,915610725,1
234292899,915610815,4
234292899,915619188,1
234292899,915946994,4
234292899,916288408,17
234292899,916288689,11
234292899,916292026,5
234292899,916296656,6
234292899,916296860,2
234292899,916310074,1
234292899,916628962,2
234292899,916629686,1
234292899,916633574,1
234292899,916646694,1
234292899,916651038,27
234292899,916987393,7
234292899,916987940,1
234292899,917674256,11
234292899,919763043,1
234292899,947003825,3
234292899,947664053,1
234292899,947681574,1
234292899,948333576,28
234292899,948346463,11
234292899,948346519,3
234292899,948363764,1
234292899,948372363,5
234292899,948704521,1
234292899,949015717,4
234292899,949045811,3
234292899,949054716,6
234292899,977995787,1
234292899,978345784,1
234292899,978681977,1
234292899,979022908,1
234292899,979027431,1
234292899,979031711,1
234292899,979052812,6
234292899,979065964,1
234292899,979368408,1
234292899,979411392,4
234292899,980089353,1
234292899,1008693462,4
234292899,1008693605,1
234292899,1009375310,1
234292899,1009712546,2
234292899,1010437434,2
234292899,1010778549,2
234292899,1012112398,1
234292899,1035393986,1
234292899,1040742857,1
234292899,1041407603,1
234292899,1041412396,1
234292899,1041761742,1
234292899,1042154310,2
234292899,1042163564,1
234292899,1042495376,2
234292899,1071760480,1
234292899,1072442312,2
234292899,1072472949,1
234292899,1072533704,5
234292899,1072779298,4
234292899,1072805036,1
234292899,1073224194,1
234292899,1073543090,1
234292899,1073897808,1
234292899,1103576992,2
234292899,1103840073,1
234292899,1104155212,5
234292899,1104591732,1
234292899,1104824699,1
