mode,region,arm,seed,gain,sigma,change_snr,readout_base,recall_at_fpr10,auroc,auprc,wall_s
gain,AL,degree,5,16.0,0.0,0.11997,7.6216,0.7449712643678161,0.907368873034747,0.9865172264447613,102.2
gain,AL,random,5,32.0,0.0,0.06387,15.4676,0.6846264367816092,0.9051228695996828,0.986590909790004,80.7
gain,AL,connectome,1,0.5,0.0,0.15951,4.3655,0.6522988505747126,0.8716887964063945,0.9818890499455336,114.1
gain,AL,degree,1,1.0,0.0,0.11744,7.767,0.6271551724137931,0.8754376403752147,0.9825794860621526,91.9
gain,AL,random,1,2.0,0.0,0.06352,15.4404,0.6738505747126436,0.9079840467697186,0.9871451755470072,91.9
gain,AL,connectome,1,8.0,0.0,0.15951,4.3655,0.6810344827586207,0.9001932223543401,0.9865469607101884,90.9
gain,AL,degree,1,16.0,0.0,0.11744,7.767,0.7270114942528736,0.9086487646981108,0.9875248428178344,104.9
gain,AL,random,1,32.0,0.0,0.06352,15.4404,0.7492816091954023,0.9191645197516184,0.989134648693412,119.5
gain,AL,connectome,4,0.5,0.0,0.15951,4.3655,0.6724137931034483,0.906997291584093,0.9868879300920428,118.3
gain,AL,degree,4,1.0,0.0,0.11724,7.8756,0.6623563218390804,0.8734641300039635,0.9823437714407024,81.3
gain,AL,random,4,2.0,0.0,0.06302,15.6522,0.6824712643678161,0.911006242568371,0.987575782957061,81.5
gain,AL,connectome,4,8.0,0.0,0.15951,4.3655,0.7744252873563219,0.9215839278636544,0.989587245705533,94.6
gain,AL,degree,4,16.0,0.0,0.11724,7.8756,0.7198275862068966,0.91324811732065,0.9882751985088096,157.3
gain,AL,random,4,32.0,0.0,0.06302,15.6522,0.6875,0.900754723213106,0.986322681181492,114.9
gain,AL,connectome,3,0.5,0.0,0.15951,4.3655,0.6831896551724138,0.9074060311798124,0.9869937212736912,82.7
gain,AL,degree,3,1.0,0.0,0.11736,7.942,0.6228448275862069,0.8835917888756771,0.9832126949512467,80.2
gain,AL,random,3,2.0,0.0,0.0625,15.788,0.6709770114942529,0.9020304861936848,0.9863841349088224,74.1
gain,AL,connectome,3,8.0,0.0,0.15951,4.3655,0.6709770114942529,0.898698639186154,0.9861577214779258,144.3
gain,AL,degree,3,16.0,0.0,0.11736,7.942,0.6867816091954023,0.9035622275069362,0.9866853726223036,108.5
gain,AL,random,3,32.0,0.0,0.0625,15.788,0.6795977011494253,0.9114232395296604,0.9876840138430906,165.2
gain,AL,random,3,0.25,0.0,0.0625,15.788,0.5287356321839081,0.8414461950059453,0.9761169401997928,89.2
gain,AL,connectome,3,1.0,0.0,0.15951,4.3655,0.6566091954022989,0.9043136477738144,0.9865366240245912,72.9
gain,AL,degree,3,2.0,0.0,0.11736,7.942,0.6709770114942529,0.8990248051261726,0.986184295505599,124.4
gain,AL,random,3,4.0,0.0,0.0625,15.788,0.6515804597701149,0.8875388096181794,0.9842615166033832,82.4
gain,AL,connectome,3,16.0,0.0,0.15951,4.3655,0.6494252873563219,0.8782946888624653,0.98303899452876,166.5
gain,AL,degree,3,32.0,0.0,0.11736,7.942,0.6975574712643678,0.9077156823886908,0.9871526609765218,158.5
gain,AL,connectome,0,0.5,0.0,0.15951,4.3655,0.6522988505747126,0.8910316752543268,0.9847690664860193,103.7
gain,AL,degree,0,1.0,0.0,0.11893,7.7893,0.6336206896551724,0.8828321112432289,0.9834462532753026,95.1
gain,AL,random,0,2.0,0.0,0.06269,15.6447,0.6163793103448276,0.8858377923107412,0.9835956331169958,60.3
gain,AL,connectome,0,8.0,0.0,0.15951,4.3655,0.709051724137931,0.9133719778042012,0.9884357055411788,182.8
gain,AL,degree,0,16.0,0.0,0.11893,7.7893,0.7219827586206896,0.912872407187211,0.9882881595812076,131.4
gain,AL,random,0,32.0,0.0,0.06269,15.6447,0.7464080459770115,0.9221413000396352,0.98948017622337,159.9
gain,AL,connectome,2,0.5,0.0,0.15951,4.3655,0.6602011494252874,0.9027364909499274,0.9862444306029294,69.0
gain,AL,degree,2,1.0,0.0,0.11711,7.9083,0.6336206896551724,0.8794672347734179,0.9831718760768694,140.8
gain,AL,random,2,2.0,0.0,0.06296,15.7769,0.6458333333333334,0.8784928656361475,0.9828006384954648,97.8
gain,AL,connectome,2,8.0,0.0,0.15951,4.3655,0.7543103448275862,0.919680605099749,0.9892856914608116,104.0
gain,AL,degree,2,16.0,0.0,0.11711,7.9083,0.7758620689655172,0.920134760206104,0.98935280601663,103.4
gain,AL,random,2,32.0,0.0,0.06296,15.7769,0.6551724137931034,0.8806273946360154,0.9834225301579512,153.8
gain,AL,random,4,0.25,0.0,0.06302,15.6522,0.5883620689655172,0.8401456599286563,0.9768502122824791,161.2
gain,AL,connectome,4,1.0,0.0,0.15951,4.3655,0.665948275862069,0.90532517505615,0.9867771961038804,96.2
