Unnamed: 0,update,total_updates,T,FPS,window,mean,median,min,max,model
123,127,781,16384,77,50,-69.09220522,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
124,128,781,16512,77,50,-69.24738749999999,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
125,129,781,16640,77,50,-69.24738749999999,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
126,130,781,16768,78,50,-69.24738749999999,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
127,131,781,16896,78,50,-69.31731543999999,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
128,132,781,17024,78,50,-69.31731543999999,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
129,133,781,17152,78,50,-69.40858973999998,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
130,134,781,17280,78,50,-69.40858973999998,-67.62934899999999,-162.784359,104.490476,rnn_param_matched
131,135,781,17408,78,50,-70.47823915999999,-68.323162,-162.784359,104.490476,rnn_param_matched
132,136,781,17536,79,50,-70.47823915999999,-68.323162,-162.784359,104.490476,rnn_param_matched
133,137,781,17664,79,50,-71.00226423999999,-69.39981499999999,-162.784359,104.490476,rnn_param_matched
134,138,781,17792,79,50,-71.00226423999999,-69.39981499999999,-162.784359,104.490476,rnn_param_matched
135,139,781,17920,79,50,-71.03711102,-69.39981499999999,-162.784359,104.490476,rnn_param_matched
136,140,781,18048,79,50,-71.03711102,-69.39981499999999,-162.784359,104.490476,rnn_param_matched
137,141,781,18176,77,50,-70.74273771999998,-68.323162,-162.784359,104.490476,rnn_param_matched
138,142,781,18304,77,50,-70.74273771999998,-68.323162,-162.784359,104.490476,rnn_param_matched
139,143,781,18432,77,50,-70.74273771999998,-68.323162,-162.784359,104.490476,rnn_param_matched
140,144,781,18560,78,50,-71.44270169999999,-69.34525099999999,-162.784359,104.490476,rnn_param_matched
141,145,781,18688,78,50,-71.44270169999999,-69.34525099999999,-162.784359,104.490476,rnn_param_matched
142,146,781,18816,78,50,-72.01843348,-71.122848,-162.784359,104.490476,rnn_param_matched
143,147,781,18944,78,50,-72.01843348,-71.122848,-162.784359,104.490476,rnn_param_matched
144,148,781,19072,78,50,-72.58225155999999,-74.3712685,-162.784359,104.490476,rnn_param_matched
145,149,781,19200,78,50,-72.58225155999999,-74.3712685,-162.784359,104.490476,rnn_param_matched
146,150,781,19328,79,50,-72.58225155999999,-74.3712685,-162.784359,104.490476,rnn_param_matched
147,151,781,19456,79,50,-71.83901402,-71.122848,-162.784359,104.490476,rnn_param_matched
148,152,781,19584,79,50,-71.91277272,-71.122848,-162.784359,104.490476,rnn_param_matched
149,153,781,19712,79,50,-71.91277272,-71.122848,-162.784359,104.490476,rnn_param_matched
150,154,781,19840,79,50,-70.99171566,-71.122848,-134.098873,104.490476,rnn_param_matched
151,155,781,19968,79,50,-70.99171566,-71.122848,-134.098873,104.490476,rnn_param_matched
152,156,781,20096,80,50,-70.69687088,-69.34525099999999,-134.098873,104.490476,rnn_param_matched
153,157,781,20224,80,50,-70.69687088,-69.34525099999999,-134.098873,104.490476,rnn_param_matched
154,158,781,20352,80,50,-71.12464931999999,-72.5936715,-134.098873,104.490476,rnn_param_matched
155,159,781,20480,80,50,-71.12464931999999,-72.5936715,-134.098873,104.490476,rnn_param_matched
156,160,781,20608,80,50,-71.12464931999999,-72.5936715,-134.098873,104.490476,rnn_param_matched
157,161,781,20736,77,50,-71.70061826,-78.6907775,-134.098873,104.490476,rnn_param_matched
158,162,781,20864,77,50,-71.70061826,-78.6907775,-134.098873,104.490476,rnn_param_matched
159,163,781,20992,77,50,-70.40253417999999,-72.5936715,-134.098873,104.490476,rnn_param_matched
160,164,781,21120,77,50,-70.40253417999999,-72.5936715,-134.098873,104.490476,rnn_param_matched
161,165,781,21248,78,50,-69.43356168,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
162,166,781,21376,78,50,-69.43356168,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
163,167,781,21504,78,50,-69.43356168,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
164,168,781,21632,78,50,-69.30796894000001,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
165,169,781,21760,78,50,-69.30796894000001,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
166,170,781,21888,78,50,-69.3055299,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
167,171,781,22016,78,50,-69.3055299,-67.62934899999999,-134.098873,104.490476,rnn_param_matched
168,172,781,22144,79,50,-69.56313008000001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
169,173,781,22272,79,50,-69.56313008000001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
170,174,781,22400,79,50,-69.56313008000001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
171,175,781,22528,79,50,-69.02319696,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
172,176,781,22656,79,50,-69.02319696,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
173,177,781,22784,79,50,-69.34836014000001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
174,178,781,22912,79,50,-69.34836014000001,-68.84586999999999,-134.098873,104.490476,rnn_param_matched
175,179,781,23040,79,50,-68.82830458000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
176,180,781,23168,80,50,-68.82830458000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
177,181,781,23296,77,50,-68.82830458000001,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
178,182,781,23424,77,50,-68.53229204,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
179,183,781,23552,77,50,-68.53229204,-67.17240849999999,-134.098873,104.490476,rnn_param_matched
