root_id,super_class,cell_class,cell_sub_class,cell_type,side
720575940604484454,optic,ME>LO.LOP,,Tm27,left
720575940604485222,optic,ME,,Sm01,left
720575940604487456,optic,ME>LO,,T3,left
720575940604487968,optic,LO>LOP,,T5d,right
720575940604494694,optic,ME>LO,,Tm9,right
720575940604495537,optic,LO>LOP,,T5d,left
720575940604498022,optic,ME>LO,,Tm2,right
720575940604500960,visual_projection,,,LC10d,left
720575940604508332,optic,ME,columnar,Mi1,right
720575940604508960,optic,ME>LO,,T2a,right
720575940604510892,visual_projection,,,LC10c,left
720575940604511776,optic,LO>LOP,,T5c,right
720575940604515006,visual_projection,,,LCe03,right
720575940604516710,optic,ME,,Sm10,left
720575940604519014,optic,ME>LO,,T3,right
720575940604521440,optic,ME>LA,,C3,right
720575940604521952,optic,ME>LOP,,T4c,right
720575940604525792,optic,LA>ME,L1-5,L1,left
720575940604527038,optic,ME>LO.LOP,,Tm36,right
720575940604529580,optic,ME>LO,,Tm20,right
720575940604533862,optic,ME,,Mi2,right
720575940604536934,optic,ME>LO,,Tm7,right
720575940604541798,optic,ME>LO,,Tm1,right
720575940604544358,optic,LO>LOP,,T5a,right
720575940604550944,optic,ME,,Mi15,left
720575940604553150,optic,ME>LO,,Tm21,right
720575940604553504,optic,ME.LO.LOP,,LMa4,right
720575940604559811,sensory,visual,,R1-6,left
720575940604561510,optic,ME>LO,,Tm3,right
720575940604564512,optic,ME,,Mi13,left
720575940604565280,optic,ME>LOP,,T4a,left
720575940604567486,optic,ME>LOP,,T4d,right
720575940604578732,optic,ME>LO.LOP,,TmY31,left
720575940604579500,optic,ME>LO.LOP,,TmY31,right
720575940604584113,optic,ME>LO,,Tm5e,right
720575940604584416,visual_projection,,,LTe31,right
720575940604584672,optic,LA>ME,L1-5,L5,right
720575940604585504,optic,ME>LO,,T2a,right
720575940604585662,optic,LA>ME,L1-5,L3,left
720575940604585760,optic,ME>LO.LOP,,TmY11,left
720575940604590880,optic,LA>ME,L1-5,L4,left
720575940604592160,optic,ME>LO,,Tm1,left
720575940604597536,visual_projection,,,LTe38a,right
720575940604598974,optic,ME>LA,,T1,left
720575940604599654,optic,LA>ME,L1-5,L5,right
720575940604601022,visual_projection,,,LC11,left
720575940604605030,optic,ME>LA,,C3,left
720575940604607678,optic,ME,columnar,Mi1,right
720575940604609056,visual_projection,,,LPLC4,right
720575940604609201,optic,ME,,Mi9,left
720575940604610225,optic,ME>LO,,T2,right
720575940604612286,optic,ME>LO.LOP,,Tm27,left
720575940604614060,optic,ME,,Dm3q,right
720575940604616806,visual_projection,,,LTe58,right
720575940604618417,optic,LO>LOP,,T5a,left
720575940604621251,sensory,visual,,R1-6,left
720575940604622453,optic,ME>LOP,,T4c,right
720575940604624049,optic,ME,,Sm04,left
720575940604624096,optic,LA>ME,L1-5,L3,left
720575940604627889,optic,ME>LO,,Tm4,right
720575940604628158,optic,ME>LO,,Tm5a,left
720575940604629681,optic,LO>LOP,,T5c,left
720575940604630560,visual_projection,,,LC11,right
720575940604630752,optic,ME,columnar,Mi4,left
720575940604632753,optic,ME,,Dm3v,right
720575940604634592,optic,ME,columnar,Mi4,left
720575940604635253,optic,ME>LOP,,T4c,right
720575940604635616,optic,LA>ME,L1-5,L1,left
720575940604636021,optic,ME>LOP,,T4c,right
720575940604636789,optic,ME>LOP,,T4c,right
720575940604637045,optic,ME>LOP,,T4d,right
720575940604637617,optic,ME>LO.LOP,,TmY4,left
720575940604640480,optic,ME>LO,,Tm5f,left
720575940604640945,optic,ME>LOP,,T4a,right
720575940604641504,optic,ME>LO,,T2a,left
720575940604643872,visual_projection,,,LC18,left
720575940604646316,visual_projection,,,LC15,left
720575940604646368,optic,ME>LO,,T2,right
720575940604650464,optic,ME>LA,,C2,right
720575940604652512,optic,ME>LOP,,T4d,right
720575940604654048,optic,ME>LA,,C2,left
720575940604657888,optic,ME>LO,,T3,left
720575940604658912,optic,ME>LO,,Tm4,right
720575940604659424,optic,ME,,Dm3q,left
720575940604659884,optic,ME,tangential,Pm01,left
720575940604660401,optic,ME,,Dm16,right
720575940604661472,optic,LA>ME,L1-5,L2,left
720575940604664800,optic,ME>LO,,Tm9,left
720575940604665009,optic,ME,,Dm3p,right
720575940604666336,optic,LO>LOP,,T5c,left
720575940604668094,optic,ME>LO,,Tm9,right
720575940604671200,optic,ME,,Dm10,left
720575940604678880,optic,ME,,pDm8,right
720575940604679664,optic,ME>LOP,,T4d,right
720575940604681830,visual_projection,,,LC9,right
720575940604682412,optic,ME>LO,,Tm16,right
720575940604684209,optic,LOP>ME.LO,,Y3,left
720575940604684460,optic,LOP>ME.LO,,Y3,left
720575940604685740,optic,ME>LO,,Tm2,right
720575940604687532,optic,ME,columnar,Mi1,right
720575940604692070,optic,ME,,Mi9,right
720575940604692704,optic,ME>LA,,C3,right
720575940604694496,optic,LO>LOP,,T5a,left
720575940604694974,optic,ME>LO,,T2a,left
720575940604698633,optic,ME,,Mi9,right
720575940604699120,optic,ME>LOP,,T4b,right
720575940604699825,optic,ME>LOP,,T4d,right
720575940604700384,optic,ME>LO,,Tm7,right
720575940604704940,optic,LO>LOP,,T5d,right
720575940604709152,visual_projection,,,MTe04,right
720575940604711392,optic,ME>LO,,Tm20,right
720575940604712113,optic,ME,,Mi14,left
720575940604712688,optic,ME>LOP,,T4a,right
720575940604714929,optic,ME,columnar,Mi1,right
720575940604715744,optic,ME>LO,,T2a,left
720575940604717233,optic,ME,,Mi15,right
720575940604720096,optic,ME,,Mi2,left
720575940604721120,optic,ME>LO,,Tm20,left
720575940604721376,optic,ME>LO,,Tm20,right
720575940604721632,optic,ME>LO,,T3,left
720575940604722244,sensory,visual,,R1-6,left
720575940604722622,optic,LOP>ME.LO,,Y3,right
720575940604723424,optic,LA>ME,L1-5,L5,left
720575940604725606,visual_projection,,,LC18,left
720575940604728009,optic,ME,columnar,Mi1,left
720575940604731569,optic,LO>LOP,,T5c,left
720575940604732640,optic,LO>LOP,,T5d,left
720575940604733216,optic,ME,,Mi2,left
720575940604734641,optic,ME>LO,,Tm2,right
720575940604738016,optic,LA>ME,L1-5,L1,left
720575940604738225,optic,ME>LO,,Tm5c,left
720575940604738737,optic,ME>LOP,,T4d,right
720575940604740832,optic,LA>ME,L1-5,L4,left
720575940604741809,optic,ME>LO,,T3,right
720575940604744625,optic,ME>LO,,Tm2,left
720575940604745456,optic,ME>LOP,,T4a,right
720575940604747744,optic,ME>LO,,Tm37,left
720575940604747953,optic,LA>ME,L1-5,L1,right
720575940604748768,optic,ME,columnar,Mi4,left
720575940604749758,visual_projection,,,LC16,left
720575940604754144,optic,ME,,yDm8,left
720575940604763360,optic,ME,,Mi13,left
720575940604766688,optic,ME>LOP,,T4c,left
720575940604767618,optic,ME>LO,,Tm16,left
720575940604774572,optic,LO>LOP,,T5a,right
720575940604778156,optic,LO>LOP,,T5b,right
720575940604778673,optic,ME,,Mi13,right
720575940604781490,optic,LO>LOP,,T5b,left
720575940604782764,optic,LO>LOP,,T5c,right
720575940604786720,visual_projection,,,LC33,right
720575940604786860,optic,ME,,Mi15,left
720575940604786912,optic,ME>LO.LOP,,TmY4,right
720575940604797100,optic,ME>LO,,Tm5a,right
720575940604799409,optic,ME>LO.LOP,,TmY31,right
720575940604804798,optic,ME>LOP,,T4c,right
720575940604805297,optic,ME,,Dm3p,left
720575940604805566,optic,ME>LOP,,T4b,right
720575940604807392,optic,ME>LOP,,T4d,left
720575940604809184,optic,LO>LOP,,T5d,left
