,update,total_updates,T,FPS,window,mean,median,min,max
235,237,390,30464,0,50,-81.93067869999999,-73.339878,-155.096037,-36.767536
236,238,390,30592,0,50,-82.73267116000001,-76.157995,-155.096037,-36.767536
237,239,390,30720,0,50,-82.73267116000001,-76.157995,-155.096037,-36.767536
238,240,390,30848,0,50,-82.73949786000001,-76.157995,-155.096037,-36.767536
239,241,390,30976,0,50,-82.51160183999998,-76.157995,-155.096037,-36.767536
240,242,390,31104,0,50,-82.51160183999998,-76.157995,-155.096037,-36.767536
241,243,390,31232,0,50,-82.51160183999998,-76.157995,-155.096037,-36.767536
242,244,390,31360,0,50,-83.51026664000001,-80.107731,-155.096037,-36.767536
243,245,390,31488,0,50,-82.91366528,-76.157995,-155.096037,-36.767536
244,246,390,31616,0,50,-84.58486232,-80.107731,-155.096037,-36.767536
245,247,390,31744,0,50,-84.13781811999999,-80.107731,-155.096037,-36.767536
246,248,390,31872,0,50,-83.04918216000002,-76.157995,-155.096037,-36.767536
247,249,390,32000,0,50,-85.02978426,-80.107731,-155.096037,-36.767536
248,250,390,32128,0,50,-85.00740806,-79.548326,-155.096037,-36.767536
249,251,390,32256,0,50,-84.28373278000001,-76.157995,-155.096037,-36.767536
250,252,390,32384,0,50,-85.26829568000001,-76.157995,-155.096037,-36.767536
251,253,390,32512,0,50,-83.90075502000002,-76.157995,-155.096037,-36.767536
252,254,390,32640,0,50,-84.23693445999999,-79.548326,-155.096037,-36.767536
253,255,390,32768,0,50,-83.73244254,-79.548326,-155.096037,-36.767536
254,256,390,32896,0,50,-83.76197652,-79.548326,-155.096037,-36.767536
255,257,390,33024,0,50,-83.76197652,-79.548326,-155.096037,-36.767536
256,258,390,33152,0,50,-82.00060608,-73.339878,-155.096037,-36.767536
257,259,390,33280,0,50,-81.51562466,-73.339878,-155.096037,-36.767536
258,260,390,33408,0,50,-81.51562466,-73.339878,-155.096037,-36.767536
259,261,390,33536,0,50,-81.51562466,-73.339878,-155.096037,-36.767536
260,262,390,33664,0,50,-81.38791356,-73.339878,-155.096037,-36.767536
261,263,390,33792,0,50,-81.38791356,-73.339878,-155.096037,-36.767536
262,264,390,33920,0,50,-81.6253209,-73.339878,-155.096037,-36.767536
263,265,390,34048,0,50,-81.6253209,-73.339878,-155.096037,-36.767536
264,266,390,34176,0,50,-81.6253209,-73.339878,-155.096037,-36.767536
265,267,390,34304,0,50,-81.61649641999999,-72.5020095,-155.096037,-36.767536
266,268,390,34432,0,50,-81.61649641999999,-72.5020095,-155.096037,-36.767536
267,269,390,34560,0,50,-81.61649641999999,-72.5020095,-155.096037,-36.767536
268,270,390,34688,0,50,-81.36356874,-72.5020095,-155.096037,-36.767536
269,271,390,34816,0,50,-81.36356874,-72.5020095,-155.096037,-36.767536
270,272,390,34944,0,50,-82.15920958000001,-72.5020095,-155.096037,-36.767536
271,273,390,35072,0,50,-83.96074168000001,-74.1337475,-155.096037,-36.767536
272,274,390,35200,0,50,-83.96074168000001,-74.1337475,-155.096037,-36.767536
273,275,390,35328,0,50,-84.6020378,-78.361947,-155.096037,-36.767536
274,276,390,35456,0,50,-82.66552538,-74.1337475,-155.096037,-36.767536
275,277,390,35584,0,50,-81.46552288,-72.5020095,-155.096037,-36.767536
276,278,390,35712,0,50,-81.46552288,-72.5020095,-155.096037,-36.767536
277,279,390,35840,0,50,-82.62911298,-74.1337475,-155.096037,-36.767536
278,280,390,35968,0,50,-82.0167424,-73.9085195,-155.096037,-36.767536
279,281,390,36096,0,50,-79.83661054,-72.5020095,-153.209176,-36.767536
280,282,390,36224,0,50,-79.22405574000001,-70.893506,-153.209176,-36.767536
281,283,390,36352,0,50,-79.17622684,-70.893506,-153.209176,-36.767536
282,284,390,36480,0,50,-79.17622684,-70.893506,-153.209176,-36.767536
283,285,390,36608,0,50,-80.63311606,-72.5020095,-153.209176,-36.767536
284,286,390,36736,0,50,-80.63311606,-72.5020095,-153.209176,-36.767536
285,287,390,36864,0,50,-81.02380718,-72.5020095,-153.209176,-37.926669
286,288,390,36992,0,50,-80.38387836,-72.5020095,-153.209176,-37.926669
287,289,390,37120,0,50,-79.3215057,-68.950045,-153.209176,-35.335721
288,290,390,37248,0,50,-79.3215057,-68.950045,-153.209176,-35.335721
289,291,390,37376,0,50,-79.51877134000001,-68.950045,-153.209176,-35.335721
290,292,390,37504,0,50,-80.32288252000001,-73.9085195,-153.209176,-35.335721
291,293,390,37632,0,50,-80.32288252000001,-73.9085195,-153.209176,-35.335721
292,294,390,37760,0,50,-80.90285094000002,-73.9085195,-153.209176,-35.335721
293,295,390,37888,0,50,-80.90285094000002,-73.9085195,-153.209176,-35.335721
294,296,390,38016,0,50,-80.95324804,-73.9085195,-153.209176,-35.335721
295,297,390,38144,0,50,-80.95324804,-73.9085195,-153.209176,-35.335721
296,298,390,38272,0,50,-80.95324804,-73.9085195,-153.209176,-35.335721
297,299,390,38400,0,50,-79.65573568,-73.9085195,-153.209176,-35.335721
298,300,390,38528,0,50,-78.2230617,-68.950045,-153.209176,-35.335721
299,301,390,38656,0,50,-79.27373822,-68.950045,-153.209176,-35.335721
300,302,390,38784,0,50,-79.27373822,-68.950045,-153.209176,-35.335721
301,303,390,38912,0,50,-79.27373822,-68.950045,-153.209176,-35.335721
302,304,390,39040,0,50,-78.26602732,-68.950045,-153.209176,-35.335721
303,305,390,39168,0,50,-78.26602732,-68.950045,-153.209176,-35.335721
304,306,390,39296,0,50,-77.75818242,-66.4146185,-153.209176,-35.335721
305,307,390,39424,0,50,-77.75818242,-66.4146185,-153.209176,-35.335721
306,308,390,39552,0,50,-78.10529483999998,-70.7604525,-153.209176,-35.335721
307,309,390,39680,0,50,-78.10529483999998,-70.7604525,-153.209176,-35.335721
308,310,390,39808,0,50,-78.60236857999999,-70.7604525,-157.004007,-35.335721
309,311,390,39936,0,50,-80.05292832,-73.9085195,-157.004007,-35.335721
310,312,390,40064,0,50,-80.00616666,-73.9085195,-157.004007,-35.335721
311,313,390,40192,0,50,-77.33146602000001,-66.14127450000001,-157.004007,-35.335721
312,314,390,40320,0,50,-76.99633618,-66.14127450000001,-157.004007,-35.187105
313,315,390,40448,0,50,-76.99633618,-66.14127450000001,-157.004007,-35.187105
314,316,390,40576,0,50,-76.02459462,-66.14127450000001,-157.004007,-35.187105
315,317,390,40704,0,50,-76.02459462,-66.14127450000001,-157.004007,-35.187105
316,318,390,40832,0,50,-75.89916714,-66.14127450000001,-157.004007,-35.187105
317,319,390,40960,0,50,-75.89916714,-66.14127450000001,-157.004007,-35.187105
318,320,390,41088,0,50,-75.89916714,-66.14127450000001,-157.004007,-35.187105
319,321,390,41216,0,50,-76.01213104,-66.14127450000001,-157.004007,-35.187105
320,322,390,41344,0,50,-75.93905799999999,-66.14127450000001,-157.004007,-35.187105
321,323,390,41472,0,50,-75.81505709999999,-66.14127450000001,-157.004007,-35.187105
322,324,390,41600,0,50,-75.81505709999999,-66.14127450000001,-157.004007,-35.187105
323,325,390,41728,0,50,-76.19920041999998,-70.7604525,-157.004007,-35.187105
324,326,390,41856,0,50,-75.33216368000001,-70.7604525,-157.004007,-35.187105
325,327,390,41984,0,50,-74.12139204,-66.14127450000001,-157.004007,-35.187105
326,328,390,42112,0,50,-73.3402324,-63.161825500000006,-157.004007,-35.187105
327,329,390,42240,0,50,-72.40752346000001,-59.450054,-157.004007,-35.187105
328,330,390,42368,0,50,-70.73553398000001,-55.8665415,-157.004007,-35.187105
329,331,390,42496,0,50,-70.73553398000001,-55.8665415,-157.004007,-35.187105
330,332,390,42624,0,50,-69.5043236,-55.8665415,-157.004007,-35.187105
331,333,390,42752,0,50,-69.14205814,-55.8665415,-157.004007,-35.187105
332,334,390,42880,0,50,-69.16225848,-55.8665415,-157.004007,-35.187105
333,335,390,43008,0,50,-68.49635872,-55.8665415,-157.004007,-35.187105
334,336,390,43136,0,50,-68.49635872,-55.8665415,-157.004007,-35.187105
335,337,390,43264,0,50,-68.49635872,-55.8665415,-157.004007,-35.187105
336,338,390,43392,0,50,-68.53431598,-55.8665415,-157.004007,-35.187105
337,339,390,43520,0,50,-69.72535294000001,-55.8665415,-157.004007,-35.187105
338,340,390,43648,0,50,-69.72535294000001,-55.8665415,-157.004007,-35.187105
339,341,390,43776,0,50,-69.72535294000001,-55.8665415,-157.004007,-35.187105
340,342,390,43904,0,50,-70.01340134,-59.450054,-157.004007,-35.187105
341,343,390,44032,0,50,-70.10944598,-59.450054,-157.004007,-35.187105
342,344,390,44160,0,50,-68.78679766,-55.496604500000004,-157.004007,-35.187105
343,345,390,44288,0,50,-68.78679766,-55.496604500000004,-157.004007,-35.187105
344,346,390,44416,0,50,-69.39586951999999,-59.450054,-157.004007,-34.126894
345,347,390,44544,0,50,-69.51839183999999,-59.450054,-157.004007,-34.126894
346,348,390,44672,0,50,-70.39342288,-63.380804499999996,-157.004007,-34.126894
347,349,390,44800,0,50,-70.62676493999999,-63.380804499999996,-157.004007,-34.126894
