io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,spectrum,standard,2,5,7,0.3598143756389618,0.8003,0.7706
bio,spectrum,standard,2,5,8,0.3578225523233413,0.8399,0.7968
bio,spectrum,standard,2,5,9,0.3674163669347763,0.7542,0.8929
bio,spectrum,standard,2,5,10,0.3637971878051758,0.7582,0.7416
bio,spectrum,standard,2,5,11,0.3590389490127563,0.7606,0.792
bio,spectrum,standard,2,5,12,0.3639313280582428,0.7609,0.9344
bio,spectrum,standard,2,5,13,0.3629019111394882,0.7721,0.7581
bio,spectrum,standard,2,5,14,0.3649429827928543,0.7775,0.694
bio,spectrum,standard,2,5,15,0.3641485273838043,0.7855,0.8378
bio,spectrum,standard,2,5,16,0.3549686223268509,0.7874,0.8839
bio,spectrum,standard,2,5,17,0.3562916815280914,0.7859,0.7406
bio,spectrum,standard,2,5,18,0.3536382615566253,0.7876,0.7628
bio,spectrum,standard,2,5,19,0.3542390167713165,0.7895,0.8289
bio,spectrum,standard,2,5,20,0.352063238620758,0.7897,0.7457
bio,dense,standard,0,5,1,1.1942423582077026,0.8923,1.8444
bio,dense,standard,0,5,2,1.9832071363925932,0.6899,3.6425
bio,dense,standard,0,5,3,1.5459993928670883,0.6638,0.8267
bio,dense,standard,0,5,4,0.4109668284654617,0.8193,0.8495
bio,dense,standard,0,5,5,0.3042873591184616,0.8377,0.7015
bio,dense,standard,0,5,6,0.2988586276769638,0.8468,1.0564
bio,dense,standard,0,5,7,0.3241675794124603,0.848,0.8235
bio,dense,standard,0,5,8,0.2794873118400574,0.8496,0.6816
bio,dense,standard,0,5,9,0.2962043732404709,0.8461,0.7764
bio,dense,standard,0,5,10,0.2867792844772339,0.8515,0.8466
bio,dense,standard,0,5,11,0.2858296930789947,0.8472,0.6798
bio,dense,standard,0,5,12,0.2829061299562454,0.8466,0.7136
bio,dense,standard,0,5,13,0.2844897806644439,0.8667,0.6939
bio,dense,standard,0,5,14,0.2921968996524811,0.8674,0.7139
bio,dense,standard,0,5,15,0.271567702293396,0.8428,1.3966
bio,dense,standard,0,5,16,0.494241252541542,0.8395,2.3184
bio,dense,standard,0,5,17,0.672116219997406,0.8049,2.3889
bio,dense,standard,4,5,1,0.8802020698785782,0.7785,1.8177
