region,arm,seed,N,edges,n_in,n_out,wall_s,test_low_auprc,test_low_auroc,test_low_recall,test_low_specificity,test_low_precision,test_low_recall_at_fpr10,test_low_recall_at_fpr05,test_low_balanced_acc,test_low_f1_at_0p5,test_low_f1_best,test_low_thr_f1_best,test_low_accuracy,test_low_n,test_low_n_pos,test_iid_auprc,test_iid_auroc,test_iid_recall,test_iid_specificity,test_iid_precision,test_iid_recall_at_fpr10,test_iid_recall_at_fpr05,test_iid_balanced_acc,test_iid_f1_at_0p5,test_iid_f1_best,test_iid_thr_f1_best,test_iid_accuracy,test_iid_n,test_iid_n_pos
CX,degree,3,3499,482490,307,327,170.0,0.98631,0.90264,0.8477,0.72989,0.9617,0.66307,0.63362,0.78879,0.90111,0.95887,0.01439,0.83461,1566,1392,0.97241,0.93009,0.92672,0.72989,0.90147,0.71552,0.69828,0.8283,0.91392,0.9332,0.07841,0.87304,638,464
OL,degree,1,3499,137087,1399,22,117.0,0.98058,0.86448,0.85489,0.66092,0.95276,0.60417,0.57399,0.7579,0.90117,0.95442,0.00042,0.83333,1566,1392,0.96177,0.90288,0.94612,0.66092,0.88153,0.65948,0.63793,0.80352,0.91268,0.91649,0.52376,0.86834,638,464
AL,random,3,3499,258882,2385,685,104.5,0.98801,0.91331,0.88075,0.72989,0.96308,0.69684,0.67098,0.80532,0.92008,0.96178,0.00121,0.86398,1566,1392,0.97924,0.94657,0.96767,0.72989,0.90524,0.75862,0.73276,0.84878,0.93542,0.93827,0.44524,0.90282,638,464
MB,random,1,3499,274271,406,96,75.0,0.98313,0.88043,0.93894,0.58621,0.94779,0.65014,0.63362,0.76257,0.94334,0.9567,0.00381,0.89974,1566,1392,0.9618,0.90052,0.97198,0.58621,0.86233,0.68534,0.67888,0.77909,0.91388,0.91574,0.51752,0.86677,638,464
CX,degree,5,3499,482490,307,327,144.5,0.98287,0.88064,0.87428,0.67241,0.95526,0.61422,0.58549,0.77335,0.91298,0.95652,0.01148,0.85185,1566,1392,0.96103,0.90266,0.92888,0.67241,0.8832,0.64871,0.63362,0.80065,0.90546,0.92323,0.31171,0.85893,638,464
OL,degree,3,3499,137087,1399,22,82.8,0.98471,0.89125,0.9023,0.66667,0.95586,0.65445,0.62141,0.78448,0.92831,0.95628,0.00644,0.87612,1566,1392,0.96915,0.9188,0.96336,0.66667,0.88515,0.70905,0.69181,0.81501,0.9226,0.92387,0.48149,0.88245,638,464
AL,degree,2,3499,258882,2385,685,92.5,0.98485,0.89426,0.90805,0.67816,0.95758,0.64871,0.62141,0.7931,0.93215,0.96396,0.03015,0.8825,1566,1392,0.96722,0.91615,0.94612,0.67816,0.88687,0.69828,0.68966,0.81214,0.91554,0.93079,0.05854,0.87304,638,464
MB,degree,0,3499,274271,406,96,122.9,0.98223,0.8757,0.78089,0.66667,0.94934,0.63075,0.61279,0.72378,0.85692,0.96573,0.02959,0.7682,1566,1392,0.96972,0.92012,0.88793,0.67241,0.87846,0.73491,0.71336,0.78017,0.88317,0.9243,0.2138,0.82915,638,464
CX,connectome,4,3499,482490,307,327,158.1,0.98712,0.90745,0.86063,0.73563,0.96302,0.67888,0.65445,0.79813,0.90895,0.96327,0.00204,0.84674,1566,1392,0.97595,0.93798,0.93319,0.73563,0.90397,0.74784,0.71983,0.83441,0.91835,0.93443,0.24236,0.87931,638,464
OL,connectome,2,3499,137087,1399,22,39.2,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.55974,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.55974,0.72727,638,464
AL,degree,3,3499,258882,2385,685,84.2,0.98678,0.90617,0.85776,0.72414,0.96135,0.68103,0.64943,0.79095,0.90661,0.96452,0.01003,0.84291,1566,1392,0.97185,0.92669,0.90733,0.72414,0.89765,0.73491,0.71983,0.81573,0.90247,0.92387,0.20753,0.85737,638,464
MB,degree,1,3499,274271,406,96,183.7,0.98379,0.88284,0.88506,0.66092,0.9543,0.66667,0.64511,0.77299,0.91837,0.95703,0.00135,0.86015,1566,1392,0.97248,0.92811,0.96983,0.66092,0.88409,0.75862,0.72414,0.81537,0.92497,0.92668,0.4538,0.88558,638,464
CX,connectome,5,3499,482490,307,327,97.4,0.98814,0.91618,0.92529,0.70115,0.96119,0.67672,0.65302,0.81322,0.9429,0.96829,0.13401,0.90038,1566,1392,0.9697,0.92388,0.95474,0.6954,0.89315,0.67457,0.66164,0.82507,0.92292,0.93103,0.26875,0.88401,638,464
OL,connectome,3,3499,137087,1399,22,83.1,1.0,0.5,1.0,0.0,0.88889,0.0,0.0,0.5,0.94118,1.0,0.51174,0.88889,1566,1392,1.0,0.5,1.0,0.0,0.72727,0.0,0.0,0.5,0.84211,1.0,0.51174,0.72727,638,464
