bodyId,index,type,instance,pool,is_sensory,is_internal,is_output,outside_input_frac,outside_output_frac,post_in_cx_primary,pre_in_cx_primary,assignment_reason
271107672,254,,,internal,False,True,False,0.0,0.0,77.0,24.0,near_tie_internal_default
271107692,255,,,internal,False,True,False,0.0,0.0,131.0,51.0,near_tie_internal_default
271107735,256,,,internal,False,True,False,0.0,0.0,123.0,46.0,near_tie_internal_default
271107747,257,,,internal,False,True,False,0.0,0.0,154.0,49.0,near_tie_internal_default
271107776,258,,,internal,False,True,False,0.0,0.0,149.0,52.0,near_tie_internal_default
271107837,259,,,internal,False,True,False,0.0,0.0,118.0,53.0,near_tie_internal_default
271107855,260,,,internal,False,True,False,0.0,0.0,133.0,54.0,near_tie_internal_default
271107865,261,,,internal,False,True,False,0.0,0.0,3.0,4.0,near_tie_internal_default
271107886,262,,,internal,False,True,False,0.01,0.0,99.0,46.0,near_tie_internal_default
271112043,263,,,internal,False,True,False,0.0,0.0,126.0,48.0,near_tie_internal_default
271112051,264,,,internal,False,True,False,0.0,0.0,98.0,42.0,near_tie_internal_default
271112089,265,,,internal,False,True,False,0.0,0.0,35.0,15.0,near_tie_internal_default
271112094,266,,,internal,False,True,False,0.0,0.0,81.0,28.0,near_tie_internal_default
271112151,267,,,internal,False,True,False,0.0,0.0,66.0,31.0,near_tie_internal_default
271112189,268,,,internal,False,True,False,0.0,0.0,116.0,39.0,near_tie_internal_default
271112232,269,,,internal,False,True,False,0.0,0.0,78.0,28.0,near_tie_internal_default
271112265,270,,,internal,False,True,False,0.0,0.0,102.0,42.0,near_tie_internal_default
271112325,271,,,internal,False,True,False,0.0,0.0,80.0,26.0,near_tie_internal_default
271112369,272,,,internal,False,True,False,0.0,0.0,73.0,29.0,near_tie_internal_default
271112374,273,,,internal,False,True,False,0.0,0.0,104.0,35.0,near_tie_internal_default
271112435,274,,,internal,False,True,False,0.0,0.0,112.0,45.0,near_tie_internal_default
271112500,275,,,internal,False,True,False,0.0,0.0,83.0,26.0,near_tie_internal_default
271112501,276,,,internal,False,True,False,0.0,0.0,118.0,33.0,near_tie_internal_default
271112524,277,,,internal,False,True,False,0.0,0.0,67.0,26.0,near_tie_internal_default
271112542,278,,,internal,False,True,False,0.0,0.0,72.0,25.0,near_tie_internal_default
271112560,279,,,internal,False,True,False,0.0,0.0,898.0,78.0,near_tie_internal_default
271112586,280,,,internal,False,True,False,0.0,0.0,124.0,50.0,near_tie_internal_default
271112600,281,,,internal,False,True,False,0.0,0.0,111.0,43.0,near_tie_internal_default
271112606,282,,,internal,False,True,False,0.0,0.0,90.0,34.0,near_tie_internal_default
271116360,283,,,internal,False,True,False,0.0,0.0,69.0,25.0,near_tie_internal_default
271116386,284,,,internal,False,True,False,0.0,0.0,92.0,42.0,near_tie_internal_default
271116396,285,,,internal,False,True,False,0.0,0.0,5.0,2.0,near_tie_internal_default
271116402,286,,,internal,False,True,False,0.0,0.0,59.0,32.0,near_tie_internal_default
271116512,287,,,internal,False,True,False,0.0,0.0,92.0,34.0,near_tie_internal_default
271116706,288,,,internal,False,True,False,0.0,0.0,101.0,35.0,near_tie_internal_default
271116729,289,,,internal,False,True,False,0.0,0.0,124.0,42.0,near_tie_internal_default
271116733,290,,,internal,False,True,False,0.0,0.0,89.0,32.0,near_tie_internal_default
271116797,291,,,internal,False,True,False,0.0,0.0,1.0,2.0,near_tie_internal_default
271116863,292,,,internal,False,True,False,0.0,0.0,98.0,39.0,near_tie_internal_default
271116902,293,,,internal,False,True,False,0.0,0.0,139.0,49.0,near_tie_internal_default
271116908,294,,,internal,False,True,False,0.0,0.0,128.0,42.0,near_tie_internal_default
